,sexo,posse_de_veiculo,posse_de_imovel,qtd_filhos,tipo_renda,educacao,estado_civil,tipo_residencia,idade,tempo_emprego,possui_celular,possui_fone_comercial,possui_fone,possui_email,qt_pessoas_residencia,mau
7579,F,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,54.72602739726028,29.534246575342465,1,1,1,0,2.0,False
7583,F,N,Y,0,Working,Secondary / secondary special,Widow,House / apartment,49.42465753424658,13.186301369863012,1,0,0,0,1.0,False
7586,M,Y,Y,1,Working,Secondary / secondary special,Married,Co-op apartment,42.038356164383565,3.016438356164384,1,0,0,0,3.0,False
7589,F,N,Y,0,Pensioner,Higher education,Married,House / apartment,64.76712328767124,-1000.6657534246576,1,0,1,1,2.0,False
7592,F,Y,N,1,State servant,Secondary / secondary special,Married,Municipal apartment,48.10410958904109,4.936986301369863,1,0,0,0,3.0,False
7594,F,Y,Y,1,Working,Incomplete higher,Single / not married,House / apartment,32.12328767123287,5.6,1,0,0,0,2.0,False
7596,F,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,33.917808219178085,6.265753424657534,1,1,1,0,2.0,False
7597,F,N,N,1,Commercial associate,Higher education,Civil marriage,House / apartment,40.56164383561644,5.265753424657534,1,0,0,0,3.0,False
7601,F,N,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,58.989041095890414,-1000.6657534246576,1,0,0,0,2.0,False
7603,F,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,51.31506849315068,0.4301369863013699,1,0,0,1,2.0,False
7607,M,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,31.435616438356163,1.5972602739726027,1,0,0,0,2.0,False
7612,F,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,52.54794520547945,3.350684931506849,1,1,1,0,2.0,False
7614,F,N,N,4,Commercial associate,Secondary / secondary special,Married,House / apartment,36.38356164383562,0.7671232876712328,1,1,0,0,6.0,False
7615,M,Y,Y,0,Working,Secondary / secondary special,Married,With parents,30.61917808219178,8.435616438356165,1,1,0,0,2.0,False
7620,F,N,Y,0,Working,Secondary / secondary special,Civil marriage,House / apartment,40.06849315068493,21.44383561643836,1,0,1,1,2.0,False
7623,F,N,Y,0,Working,Secondary / secondary special,Separated,House / apartment,44.16438356164384,4.265753424657534,1,0,0,0,1.0,False
7626,F,N,Y,2,Working,Secondary / secondary special,Married,House / apartment,45.02739726027397,26.698630136986303,1,0,1,0,4.0,False
7628,F,N,Y,0,Commercial associate,Higher education,Civil marriage,House / apartment,35.46849315068493,0.9342465753424658,1,0,1,1,2.0,False
7630,F,N,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,64.43835616438356,-1000.6657534246576,1,0,0,0,2.0,False
7632,M,Y,N,0,Commercial associate,Secondary / secondary special,Single / not married,Office apartment,26.6027397260274,3.76986301369863,1,1,1,0,1.0,False
7633,M,Y,N,0,Commercial associate,Secondary / secondary special,Single / not married,Office apartment,26.6027397260274,3.76986301369863,1,1,1,0,1.0,True
7635,F,N,Y,0,Pensioner,Secondary / secondary special,Widow,House / apartment,67.15342465753425,-1000.6657534246576,1,0,0,0,1.0,False
7637,M,Y,Y,0,Working,Secondary / secondary special,Single / not married,Municipal apartment,35.657534246575345,2.9342465753424656,1,1,1,0,1.0,False
7638,F,N,Y,0,Commercial associate,Secondary / secondary special,Married,House / apartment,54.84109589041096,4.684931506849315,1,1,0,0,2.0,False
7639,F,N,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,62.23287671232877,-1000.6657534246576,1,0,0,0,2.0,False
7642,F,N,Y,0,Working,Secondary / secondary special,Single / not married,House / apartment,51.86027397260274,3.76986301369863,1,0,0,0,1.0,False
7643,F,N,Y,0,Pensioner,Higher education,Married,House / apartment,58.31780821917808,-1000.6657534246576,1,0,0,0,2.0,False
7646,F,N,Y,1,Commercial associate,Secondary / secondary special,Married,House / apartment,39.86301369863013,8.183561643835617,1,0,0,0,3.0,False
7649,M,Y,Y,0,Commercial associate,Secondary / secondary special,Married,House / apartment,27.487671232876718,5.684931506849315,1,1,0,0,2.0,False
7653,M,N,Y,0,Working,Secondary / secondary special,Single / not married,House / apartment,41.89041095890411,3.432876712328768,1,1,0,0,1.0,False
7654,M,Y,N,1,Working,Secondary / secondary special,Married,House / apartment,42.64931506849315,5.517808219178082,1,0,0,0,3.0,False
7655,M,Y,N,1,Pensioner,Secondary / secondary special,Married,House / apartment,42.49315068493151,-1000.6657534246576,1,0,0,0,3.0,False
7658,F,Y,Y,0,Commercial associate,Secondary / secondary special,Married,House / apartment,45.31232876712329,1.0164383561643835,1,0,0,0,2.0,False
7659,F,Y,N,1,Working,Higher education,Widow,House / apartment,45.15068493150685,11.02191780821918,1,0,0,1,2.0,False
7671,F,Y,Y,0,Pensioner,Lower secondary,Married,House / apartment,59.55890410958904,-1000.6657534246576,1,0,0,0,2.0,False
7674,M,Y,Y,1,Working,Secondary / secondary special,Married,House / apartment,44.24657534246575,4.432876712328767,1,0,0,1,3.0,False
7676,F,N,N,0,Pensioner,Secondary / secondary special,Married,House / apartment,59.16438356164384,-1000.6657534246576,1,0,0,1,2.0,False
7680,F,N,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,60.14246575342466,-1000.6657534246576,1,0,1,1,2.0,False
7681,M,Y,Y,3,Working,Secondary / secondary special,Married,House / apartment,43.87123287671233,13.10958904109589,1,0,1,1,5.0,False
7684,F,N,Y,2,Working,Secondary / secondary special,Married,House / apartment,27.136986301369863,2.1780821917808217,1,0,0,0,4.0,False
7685,M,Y,Y,0,Working,Secondary / secondary special,Single / not married,House / apartment,37.821917808219176,4.265753424657534,1,0,0,0,1.0,False
7688,M,Y,Y,2,Working,Secondary / secondary special,Married,House / apartment,39.106849315068494,8.435616438356165,1,0,0,0,4.0,False
7691,F,Y,Y,1,Pensioner,Higher education,Married,House / apartment,37.76986301369863,-1000.6657534246576,1,0,0,1,3.0,False
7692,M,Y,Y,0,Working,Higher education,Married,With parents,30.38082191780822,4.019178082191781,1,0,0,0,2.0,False
7699,M,N,Y,0,Working,Secondary / secondary special,Separated,House / apartment,48.00547945205479,4.18082191780822,1,0,0,0,1.0,False
7704,F,N,Y,1,Working,Secondary / secondary special,Married,Rented apartment,39.71506849315068,11.523287671232875,1,0,0,0,3.0,False
7706,F,N,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,63.342465753424655,-1000.6657534246576,1,0,0,0,2.0,False
7707,M,Y,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,68.0,-1000.6657534246576,1,0,0,1,2.0,False
7708,F,Y,N,0,State servant,Higher education,Married,House / apartment,48.43013698630137,14.024657534246575,1,0,0,0,2.0,False
7709,F,N,N,0,Pensioner,Secondary / secondary special,Married,House / apartment,58.52876712328767,-1000.6657534246576,1,0,0,0,2.0,False
7710,M,Y,N,0,Working,Secondary / secondary special,Civil marriage,House / apartment,48.06027397260274,1.7671232876712328,1,0,0,1,2.0,False
7717,F,N,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,56.608219178082194,-1000.6657534246576,1,0,1,0,2.0,False
7718,M,N,Y,0,Working,Secondary / secondary special,Separated,House / apartment,49.21917808219178,0.5972602739726027,1,0,0,0,1.0,False
7719,F,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,58.12876712328767,4.265753424657534,1,0,0,1,2.0,False
7721,F,N,Y,0,Commercial associate,Secondary / secondary special,Married,House / apartment,40.99178082191781,15.10958904109589,1,0,1,0,2.0,False
7722,F,N,Y,0,Commercial associate,Higher education,Civil marriage,House / apartment,24.53972602739726,0.9342465753424658,1,0,0,0,2.0,False
7723,M,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,51.37534246575343,32.61917808219178,1,0,1,0,2.0,False
7727,F,N,Y,0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,57.37534246575343,-1000.6657534246576,1,0,0,1,1.0,False
7728,M,N,Y,0,Working,Secondary / secondary special,Single / not married,House / apartment,27.194520547945206,1.263013698630137,1,0,0,0,1.0,False
7729,F,Y,Y,1,Working,Secondary / secondary special,Civil marriage,House / apartment,46.99178082191781,3.432876712328768,1,0,0,1,3.0,False
7734,F,N,Y,1,Working,Secondary / secondary special,Married,House / apartment,37.23013698630137,4.517808219178082,1,0,0,0,3.0,False
7738,M,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,54.42465753424658,24.86575342465753,1,0,0,1,2.0,False
7741,M,Y,N,1,Working,Secondary / secondary special,Married,House / apartment,51.00547945205479,8.021917808219179,1,0,0,0,3.0,False
7742,M,N,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,60.632876712328766,-1000.6657534246576,1,0,0,0,2.0,False
7745,F,Y,Y,2,Working,Secondary / secondary special,Married,House / apartment,29.46027397260274,10.435616438356163,1,0,0,0,4.0,False
7747,F,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,42.175342465753424,8.106849315068493,1,0,1,0,2.0,False
7751,F,Y,Y,2,Working,Secondary / secondary special,Married,House / apartment,40.75068493150685,12.857534246575344,1,0,0,0,4.0,False
7754,F,N,Y,0,State servant,Lower secondary,Widow,House / apartment,51.156164383561645,7.104109589041096,1,0,1,0,1.0,False
7756,M,Y,Y,1,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,33.76164383561644,7.93972602739726,1,0,0,0,2.0,False
7759,M,N,N,0,Working,Secondary / secondary special,Married,House / apartment,37.37808219178082,12.775342465753424,1,0,1,0,2.0,False
7760,M,Y,Y,0,Working,Higher education,Married,House / apartment,40.12602739726027,5.35068493150685,1,0,0,0,2.0,False
7762,F,N,N,0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,45.92054794520548,12.421917808219176,1,0,0,0,1.0,False
7764,M,N,N,0,Working,Secondary / secondary special,Married,House / apartment,47.06849315068493,12.58904109589041,1,0,0,0,2.0,False
7765,F,N,Y,0,Pensioner,Higher education,Single / not married,House / apartment,64.74794520547945,-1000.6657534246576,1,0,0,0,1.0,False
7769,F,Y,Y,4,Working,Secondary / secondary special,Married,House / apartment,37.68219178082192,11.421917808219176,1,0,0,0,6.0,False
7770,M,N,N,0,Commercial associate,Higher education,Civil marriage,House / apartment,53.05479452054794,0.6657534246575343,1,0,0,1,2.0,False
7774,F,N,Y,0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,64.10958904109589,-1000.6657534246576,1,0,1,1,1.0,False
7775,F,N,N,0,Working,Higher education,Single / not married,With parents,28.336986301369866,5.638356164383562,1,0,0,1,1.0,False
7778,M,N,N,2,Working,Incomplete higher,Married,House / apartment,38.271232876712325,0.7205479452054795,1,0,0,0,4.0,False
7781,F,N,Y,0,Working,Secondary / secondary special,Single / not married,House / apartment,58.827397260273976,26.232876712328768,1,1,0,0,1.0,False
7783,M,Y,N,0,Working,Secondary / secondary special,Single / not married,House / apartment,32.12054794520548,10.145205479452056,1,1,0,1,1.0,False
7787,F,N,Y,0,Commercial associate,Secondary / secondary special,Married,House / apartment,52.5972602739726,6.002739726027397,1,0,0,0,2.0,False
7788,F,N,N,0,Working,Secondary / secondary special,Married,House / apartment,57.4027397260274,3.164383561643836,1,1,0,1,2.0,False
7791,F,N,Y,0,Working,Higher education,Married,House / apartment,31.32054794520548,2.246575342465753,1,1,0,0,2.0,False
7796,M,Y,Y,0,Working,Lower secondary,Single / not married,House / apartment,32.843835616438355,6.835616438356165,1,0,0,0,1.0,False
7799,M,N,N,1,Working,Secondary / secondary special,Married,With parents,34.726027397260275,3.638356164383562,1,0,0,0,3.0,False
7804,F,N,N,0,Pensioner,Secondary / secondary special,Married,House / apartment,62.28493150684932,-1000.6657534246576,1,0,0,0,2.0,False
7806,F,N,Y,1,Working,Secondary / secondary special,Civil marriage,House / apartment,33.583561643835615,4.975342465753425,1,0,0,1,3.0,False
7808,F,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,46.56164383561644,19.9013698630137,1,0,0,0,2.0,False
7824,M,Y,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,57.14794520547945,-1000.6657534246576,1,0,0,1,2.0,False
7829,F,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,54.74520547945205,4.723287671232876,1,0,1,0,2.0,False
7833,F,N,Y,0,Working,Secondary / secondary special,Civil marriage,House / apartment,37.8,11.58904109589041,1,0,0,0,2.0,False
7836,M,N,Y,1,Working,Secondary / secondary special,Civil marriage,House / apartment,36.25479452054795,7.473972602739726,1,0,0,0,3.0,False
7840,F,N,Y,0,Commercial associate,Secondary / secondary special,Separated,House / apartment,54.43013698630137,1.9726027397260275,1,0,0,1,1.0,False
7844,F,N,Y,0,Working,Secondary / secondary special,Separated,House / apartment,50.14794520547945,0.4684931506849315,1,1,0,0,1.0,False
7846,M,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,25.065753424657533,3.334246575342466,1,0,0,1,1.0,False
7847,F,N,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,61.61917808219178,-1000.6657534246576,1,0,0,0,2.0,False
7851,M,N,N,2,Working,Lower secondary,Married,House / apartment,37.24109589041096,6.975342465753425,1,1,0,0,4.0,False
7854,F,Y,N,0,Commercial associate,Secondary / secondary special,Married,House / apartment,45.31780821917808,2.9726027397260277,1,0,1,0,2.0,False
7858,F,N,Y,0,State servant,Secondary / secondary special,Married,House / apartment,39.53972602739726,12.30958904109589,1,1,0,1,2.0,False
7860,F,N,Y,0,State servant,Higher education,Married,Municipal apartment,64.0958904109589,0.4136986301369863,1,0,1,0,2.0,False
7862,M,Y,Y,0,Commercial associate,Secondary / secondary special,Married,House / apartment,44.50410958904109,22.48219178082192,1,0,0,0,2.0,False
7864,F,Y,Y,0,Commercial associate,Incomplete higher,Single / not married,House / apartment,25.013698630136982,3.808219178082192,1,0,1,0,1.0,False
7872,M,Y,Y,2,Commercial associate,Secondary / secondary special,Married,House / apartment,47.271232876712325,25.016438356164382,1,0,1,0,4.0,False
7876,F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,50.02191780821918,1.7205479452054795,1,1,1,0,1.0,False
7882,M,Y,Y,0,Commercial associate,Secondary / secondary special,Married,House / apartment,32.775342465753425,10.252054794520548,1,0,0,1,2.0,False
7883,F,N,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,63.92876712328767,-1000.6657534246576,1,0,0,0,2.0,False
7886,F,N,Y,0,Pensioner,Secondary / secondary special,Widow,House / apartment,56.26301369863014,-1000.6657534246576,1,0,0,0,1.0,False
7887,F,N,Y,0,Pensioner,Secondary / secondary special,Widow,House / apartment,56.26301369863014,-1000.6657534246576,1,0,0,0,1.0,True
7891,F,N,Y,0,Pensioner,Higher education,Married,House / apartment,60.37534246575343,-1000.6657534246576,1,0,0,0,2.0,False
7893,F,Y,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,62.68493150684932,-1000.6657534246576,1,0,0,0,2.0,False
7896,F,N,N,1,Working,Secondary / secondary special,Married,House / apartment,35.19178082191781,3.5013698630136987,1,0,0,0,3.0,False
7897,M,N,Y,0,Working,Higher education,Married,House / apartment,28.73972602739726,9.838356164383562,1,0,0,0,2.0,False
7898,F,N,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,62.83835616438356,-1000.6657534246576,1,0,0,0,2.0,False
7899,M,Y,Y,0,Working,Higher education,Married,House / apartment,29.942465753424656,9.09041095890411,1,0,1,0,2.0,False
7900,F,N,Y,2,Working,Higher education,Married,House / apartment,35.23287671232877,12.75890410958904,1,1,1,0,4.0,False
7904,F,N,Y,0,Commercial associate,Secondary / secondary special,Married,House / apartment,59.821917808219176,1.8054794520547943,1,0,1,0,2.0,False
7905,F,N,Y,1,State servant,Secondary / secondary special,Married,House / apartment,49.1945205479452,25.65205479452055,1,0,0,0,3.0,False
7907,F,N,Y,0,Pensioner,Secondary / secondary special,Widow,House / apartment,61.942465753424656,-1000.6657534246576,1,0,0,0,1.0,False
7908,M,N,Y,0,Working,Lower secondary,Civil marriage,House / apartment,35.68219178082192,6.002739726027397,1,0,0,0,2.0,False
7910,M,Y,Y,1,Commercial associate,Secondary / secondary special,Married,House / apartment,51.57260273972603,2.3013698630136985,1,0,0,0,3.0,False
7911,F,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,49.21643835616438,18.065753424657533,1,0,0,1,2.0,False
7917,F,N,Y,0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,60.44383561643836,-1000.6657534246576,1,0,1,0,1.0,False
7924,F,N,Y,0,Commercial associate,Secondary / secondary special,Married,House / apartment,58.02739726027397,7.473972602739726,1,0,0,0,2.0,False
7930,F,N,Y,0,Commercial associate,Secondary / secondary special,Married,House / apartment,51.55068493150685,31.49041095890411,1,0,0,0,2.0,False
7932,F,N,N,0,Commercial associate,Higher education,Single / not married,House / apartment,26.846575342465755,5.416438356164384,1,1,0,1,1.0,False
7933,M,Y,N,1,Commercial associate,Higher education,Married,House / apartment,35.41095890410959,4.638356164383562,1,0,0,1,3.0,False
7935,M,Y,Y,1,Pensioner,Secondary / secondary special,Married,House / apartment,51.91232876712328,-1000.6657534246576,1,0,0,0,3.0,False
7938,M,Y,Y,0,Commercial associate,Secondary / secondary special,Married,House / apartment,49.00547945205479,1.5534246575342463,1,1,0,0,2.0,False
7941,F,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,40.89315068493151,2.1616438356164385,1,0,0,0,2.0,False
7947,F,N,Y,0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,60.895890410958906,-1000.6657534246576,1,0,0,1,1.0,False
7949,F,N,N,0,State servant,Secondary / secondary special,Widow,House / apartment,53.86849315068493,31.93972602739726,1,0,0,0,1.0,False
7950,F,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,42.50684931506849,6.808219178082192,1,0,0,1,2.0,False
7952,M,Y,Y,1,State servant,Higher education,Married,House / apartment,31.312328767123287,8.67123287671233,1,1,0,0,3.0,False
7957,F,N,N,1,Working,Secondary / secondary special,Married,House / apartment,45.42739726027397,19.065753424657533,1,0,0,0,3.0,False
7959,F,N,Y,1,Working,Secondary / secondary special,Married,House / apartment,48.80821917808219,2.5534246575342467,1,0,0,0,3.0,False
7960,F,N,Y,0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,62.8,-1000.6657534246576,1,0,1,0,1.0,False
7961,F,N,Y,0,Pensioner,Higher education,Married,House / apartment,54.68767123287671,-1000.6657534246576,1,0,0,0,2.0,False
7964,F,N,Y,0,Pensioner,Higher education,Widow,House / apartment,56.26849315068493,-1000.6657534246576,1,0,0,0,1.0,False
7965,M,Y,Y,0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,48.50958904109589,8.336986301369864,1,0,1,0,2.0,False
7966,M,Y,Y,0,Working,Higher education,Married,House / apartment,51.36986301369863,1.4684931506849317,1,0,0,0,2.0,False
7969,F,N,Y,0,State servant,Secondary / secondary special,Married,House / apartment,48.71780821917808,6.583561643835616,1,0,0,1,2.0,False
7975,M,Y,Y,0,Working,Higher education,Married,House / apartment,52.293150684931504,12.147945205479452,1,0,1,0,2.0,False
7979,M,N,Y,1,Working,Secondary / secondary special,Married,House / apartment,27.794520547945204,3.084931506849315,1,0,0,0,3.0,False
7981,F,N,Y,1,Working,Academic degree,Single / not married,House / apartment,34.397260273972606,7.586301369863014,1,0,0,0,2.0,False
7985,F,N,Y,1,Commercial associate,Incomplete higher,Married,House / apartment,28.186301369863013,7.167123287671233,1,1,1,0,3.0,False
7995,F,Y,Y,1,Working,Higher education,Married,House / apartment,25.183561643835617,3.5835616438356164,1,0,1,0,3.0,False
7996,F,N,Y,0,Working,Higher education,Married,House / apartment,60.58082191780822,23.263013698630136,1,0,0,0,2.0,False
7998,M,Y,Y,1,Working,Secondary / secondary special,Married,House / apartment,55.62191780821918,2.665753424657534,1,0,0,0,3.0,False
7999,F,N,Y,0,State servant,Secondary / secondary special,Single / not married,House / apartment,63.94794520547945,14.895890410958904,1,0,0,0,1.0,False
8003,F,N,Y,0,Working,Secondary / secondary special,Married,With parents,27.457534246575342,1.6657534246575345,1,1,0,1,2.0,False
8005,F,Y,Y,1,Commercial associate,Higher education,Separated,House / apartment,42.93424657534246,0.6356164383561644,1,0,0,1,2.0,False
8007,M,Y,N,2,Working,Secondary / secondary special,Married,House / apartment,34.04931506849315,3.835616438356164,1,0,0,0,4.0,False
8008,M,Y,N,2,Working,Secondary / secondary special,Married,House / apartment,41.013698630136986,19.67945205479452,1,0,0,1,4.0,False
8013,M,Y,Y,0,Working,Secondary / secondary special,Civil marriage,House / apartment,51.44657534246576,4.890410958904109,1,0,0,0,2.0,False
8014,M,N,Y,1,Working,Secondary / secondary special,Civil marriage,Municipal apartment,36.36438356164384,2.8054794520547945,1,0,0,0,3.0,False
8016,M,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,48.88767123287671,3.0,1,0,0,0,1.0,False
8018,F,Y,Y,2,Working,Higher education,Married,House / apartment,37.16986301369863,3.219178082191781,1,0,0,0,4.0,False
8019,F,Y,Y,0,Working,Higher education,Married,House / apartment,58.56712328767123,1.5808219178082192,1,0,0,1,2.0,False
8022,F,Y,N,1,Working,Higher education,Married,House / apartment,32.50684931506849,10.67123287671233,1,0,1,0,3.0,False
8023,F,N,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,63.66849315068493,-1000.6657534246576,1,0,0,0,2.0,False
8024,F,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,51.24657534246575,14.643835616438356,1,0,0,0,2.0,False
8029,M,Y,Y,1,Working,Secondary / secondary special,Married,House / apartment,48.06301369863014,7.810958904109589,1,0,1,0,3.0,False
8035,M,Y,Y,0,Working,Secondary / secondary special,Married,Rented apartment,46.6054794520548,2.468493150684932,1,0,0,0,2.0,False
8039,F,N,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,58.93424657534246,-1000.6657534246576,1,0,1,0,2.0,False
8043,M,Y,N,0,Working,Secondary / secondary special,Married,House / apartment,36.93972602739726,4.975342465753425,1,1,1,0,2.0,False
8049,F,N,Y,0,Pensioner,Secondary / secondary special,Widow,House / apartment,62.30958904109589,-1000.6657534246576,1,0,0,0,1.0,False
8054,F,Y,N,0,Commercial associate,Higher education,Married,House / apartment,46.10958904109589,9.473972602739726,1,0,0,0,2.0,False
8062,F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,49.67945205479453,9.838356164383562,1,0,1,1,1.0,False
8063,M,Y,Y,0,Working,Higher education,Married,House / apartment,60.57808219178082,10.558904109589042,1,0,0,0,2.0,False
8072,F,N,N,0,Commercial associate,Secondary / secondary special,Married,House / apartment,43.2958904109589,24.736986301369864,1,0,1,0,2.0,False
8076,M,Y,Y,0,Working,Higher education,Separated,With parents,54.83013698630137,20.931506849315067,1,0,0,1,1.0,False
8078,F,N,Y,2,Working,Secondary / secondary special,Married,House / apartment,47.30958904109589,7.057534246575343,1,0,0,0,4.0,False
8079,F,Y,N,2,Working,Secondary / secondary special,Married,Rented apartment,33.44931506849315,2.3013698630136985,1,0,1,1,4.0,False
8083,F,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,53.0958904109589,13.75890410958904,1,1,1,0,2.0,False
8088,M,N,Y,0,Commercial associate,Secondary / secondary special,Married,House / apartment,63.26849315068493,1.8054794520547943,1,1,0,0,2.0,False
8091,M,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,42.2958904109589,9.252054794520548,1,0,0,0,2.0,False
8097,M,Y,Y,1,State servant,Higher education,Married,House / apartment,31.805479452054797,6.835616438356165,1,0,0,0,3.0,False
8100,F,N,N,0,Commercial associate,Secondary / secondary special,Married,House / apartment,48.25753424657534,11.558904109589042,1,0,0,0,2.0,False
8106,F,N,N,0,State servant,Secondary / secondary special,Married,With parents,47.02465753424657,25.65205479452055,1,0,0,0,2.0,False
8108,F,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,44.90684931506849,4.3863013698630136,1,0,0,0,2.0,False
8109,F,N,Y,1,Working,Secondary / secondary special,Married,House / apartment,54.76712328767123,28.73972602739726,1,0,0,0,3.0,False
8111,M,N,Y,0,Working,Secondary / secondary special,Separated,House / apartment,50.00547945205479,4.8054794520547945,1,0,0,0,1.0,False
8113,M,Y,Y,1,Working,Higher education,Married,House / apartment,41.32876712328767,0.96986301369863,1,0,0,0,3.0,False
8115,F,N,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,62.463013698630135,-1000.6657534246576,1,0,0,0,2.0,False
8120,F,N,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,59.5013698630137,-1000.6657534246576,1,0,0,1,2.0,False
8123,M,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,53.69041095890411,2.7205479452054795,1,0,1,0,2.0,False
8128,F,Y,Y,1,Commercial associate,Secondary / secondary special,Married,House / apartment,29.767123287671232,4.057534246575343,1,0,0,0,3.0,False
8136,F,N,Y,0,State servant,Higher education,Single / not married,House / apartment,55.18356164383562,8.473972602739726,1,0,1,1,1.0,False
8139,M,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,46.78082191780822,8.06027397260274,1,0,0,0,2.0,False
8148,F,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,50.51780821917808,7.556164383561644,1,0,0,0,2.0,False
8152,F,N,Y,0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,56.0027397260274,-1000.6657534246576,1,0,0,0,1.0,False
8154,M,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,53.602739726027394,8.893150684931507,1,0,0,0,2.0,False
8157,F,Y,Y,2,Working,Secondary / secondary special,Married,House / apartment,36.42465753424658,6.723287671232876,1,0,0,1,4.0,False
8158,M,Y,Y,3,State servant,Secondary / secondary special,Married,House / apartment,35.50684931506849,5.553424657534246,1,0,1,0,5.0,False
8162,F,N,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,59.55342465753424,-1000.6657534246576,1,0,0,0,2.0,False
8163,M,N,Y,0,Working,Secondary / secondary special,Single / not married,House / apartment,51.0027397260274,0.8027397260273973,1,0,0,1,1.0,False
8164,F,N,Y,0,Commercial associate,Secondary / secondary special,Widow,House / apartment,51.18630136986302,9.808219178082192,1,0,0,0,1.0,False
8165,M,Y,Y,0,Working,Secondary / secondary special,Civil marriage,House / apartment,44.583561643835615,6.471232876712329,1,1,0,0,2.0,False
8167,M,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,44.602739726027394,8.389041095890411,1,0,1,1,2.0,False
8171,F,N,N,0,Working,Secondary / secondary special,Married,House / apartment,61.73972602739726,14.97808219178082,1,0,1,0,2.0,False
8172,F,N,N,0,Working,Secondary / secondary special,Married,House / apartment,61.73972602739726,14.97808219178082,1,0,1,0,2.0,True
8176,F,Y,Y,1,Working,Higher education,Separated,House / apartment,37.41643835616439,11.224657534246576,1,0,0,0,2.0,False
8177,M,Y,Y,1,Commercial associate,Secondary / secondary special,Separated,House / apartment,31.65753424657534,11.224657534246576,1,0,0,0,2.0,False
8178,M,N,Y,1,State servant,Secondary / secondary special,Married,House / apartment,38.04109589041096,0.6356164383561644,1,0,0,0,3.0,False
8181,M,Y,N,0,State servant,Higher education,Civil marriage,House / apartment,43.92328767123288,14.810958904109588,1,0,0,1,2.0,False
8182,F,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,30.87123287671233,6.972602739726027,1,1,1,0,2.0,False
8185,F,N,Y,0,Commercial associate,Higher education,Married,House / apartment,54.96712328767124,8.389041095890411,1,1,1,0,2.0,False
8186,M,Y,N,1,Working,Secondary / secondary special,Married,With parents,34.893150684931506,0.3013698630136986,1,0,0,0,3.0,False
8187,F,N,Y,0,Working,Secondary / secondary special,Separated,House / apartment,36.83561643835616,7.473972602739726,1,0,1,0,1.0,False
